text,category
"sobrang dumi sa paligid dahil walang proper disposal","Environmental Degradation and Land Use"
"umulan pero hindi nasipsip ng lupa kasi puro concrete na","Environmental Degradation and Land Use"
"naging mining site yung bundok, kalbo na","Environmental Degradation and Land Use"
"nawalan ng tirahan mga usa kasi putol puno","Environmental Degradation and Land Use"
"pati mangrove ginawang fishpond, kawawa dagat","Environmental Degradation and Land Use"
"nakakalungkot kasi wala nang isda sa ilog","Environmental Degradation and Land Use"
"puro basura nakasabit sa puno sa tabi ng ilog","Environmental Degradation and Land Use"
"nawala yung bukid sa amin, subdivision na","Environmental Degradation and Land Use"
"di na malamig kasi wala nang kagubatan","Environmental Degradation and Land Use"
"pinutol puno para sa billboard lang 😤","Environmental Degradation and Land Use"
"sobrang kapal ng basura sa kalsada, baha tuloy","Environmental Degradation and Land Use"
"naubos puno kaya soil erosion agad","Environmental Degradation and Land Use"
"ang dami nag tapon ng basura kahit saan 😩","Environmental Degradation and Land Use"
"naging dumpsite yung dating playground","Environmental Degradation and Land Use"
"wala nang isda kasi dinamita at basura","Environmental Degradation and Land Use"
"sobrang sikip kasi wala na parks, puro building","Environmental Degradation and Land Use"
"putol lahat ng puno sa gilid ng highway","Environmental Degradation and Land Use"
"nawalan ng biodiversity kasi sobrang daming construction","Environmental Degradation and Land Use"
"naging tigang lupa kasi wala na puno","Environmental Degradation and Land Use"
"ginawang mall yung forest reserve 😭","Environmental Degradation and Land Use"
"puno ng basura yung dalampasigan","Environmental Degradation and Land Use"
"nawalan ng tirahan unggoy dahil deforestation","Environmental Degradation and Land Use"
"lahat semento, kaya grabe init","Environmental Degradation and Land Use"
"naging quarry site bundok namin 😢","Environmental Degradation and Land Use"
"nawala mangrove kaya malakas na alon","Environmental Degradation and Land Use"
"sobrang daming basura kahit sa probinsya","Environmental Degradation and Land Use"
"puno ng kalat ilog kaya bumaha","Environmental Degradation and Land Use"
"wala nang punong matayuan ng duyan 😭","Environmental Degradation and Land Use"


"lindol kanina!!! ang lakas grabe 😭","Geological Events"
"umuga kama ko kala ko multo, lindol pala","Geological Events"
"nag panic lahat sa opisina dahil sa earthquake","Geological Events"
"may aftershock ulit, di na ako makatulog 😩","Geological Events"
"bitak yung pader namin dahil sa lindol","Geological Events"
"lumindol tapos nawalan pa kuryente","Geological Events"
"umuga jeep na sinasakyan ko, akala ko flat tire","Geological Events"
"nag landslide sa bundok malapit dito","Geological Events"
"grabe lindol kala ko end of the world na","Geological Events"
"nag crack kalsada sa tabi ng bahay namin","Geological Events"
"umuga building sa Makati, takot lahat","Geological Events"
"nag collapse yung lumang bahay kasi lindol","Geological Events"
"may sinkhole daw sa kabilang barangay 😱","Geological Events"
"naglakasan aftershock parang ulit lindol","Geological Events"
"tumunog alarm phone ko lindol alert","Geological Events"
"ang tagal ng lindol kanina, nakakahilo","Geological Events"
"nahulog gamit sa shelves kasi umuga","Geological Events"
"nag landslide kaya sarado daan papunta Baguio","Geological Events"
"bitak yung lupa sa bakuran 😩","Geological Events"
"nag evacuate lahat sa plaza kasi lindol","Geological Events"
"akala ko nahilo lang ako, pero lindol pala","Geological Events"
"nabasag pinggan namin kasi lumindol","Geological Events"
"sobrang lakas lindol kala ko matatapos na","Geological Events"
"pati aso namin kinabahan sa lindol","Geological Events"
"nag aftershock habang natutulog ako 😭","Geological Events"
"puro crack na sahig namin grabe","Geological Events"
"nahulog TV kasi sobrang lakas lindol","Geological Events"
"nag landslide tapos natabunan kalsada","Geological Events"
"nag panic sa mall kasi umuga bigla","Geological Events"
"may sumabog tunog habang lindol, scary","Geological Events"
"sobrang tagal na lindol kala ko di titigil","Geological Events"
"nag tsunami alert pero buti false alarm","Geological Events"
"nabitak tulay sa bayan namin","Geological Events"
"nag crack pader sa school, uwian agad","Geological Events"
"umuga condo parang rollercoaster 😭","Geological Events"
"nahulog bote sa kusina kasi lindol","Geological Events"
"may sinkhole sa highway, trapik tuloy","Geological Events"
"nag aftershock habang kumakain ako","Geological Events"
"umuga simbahan grabe lakas","Geological Events"
"nag landslide kaya stranded mga bus","Geological Events"
"bitak na bitak lupa parang puzzle","Geological Events"
"grabe lindol kala ko matatanggal bubong","Geological Events"
"pati poste gumalaw dahil lindol","Geological Events"
"nag panic kapitbahay lumabas lahat","Geological Events"
"may crater daw sa bukid dahil umuga","Geological Events"
"sobrang lakas lindol sa Mindanao kanina","Geological Events"
"nag aftershock sunod sunod 😭","Geological Events"
"nahimatay kapitbahay sa sobrang takot","Geological Events"
"umuga hagdan parang sasabog","Geological Events"
"bitak basketball court sa barangay","Geological Events"
